epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.49336,44.00000,110.00000,1703
1,1,0.31451,77.00000,110.00000,199
1,2,0.24830,77.00000,99.00000,183
1,3,0.21250,88.00000,99.00000,178
1,4,0.20619,176.00000,110.00000,234
1,5,0.17905,33.00000,110.00000,169
1,6,0.17897,33.00000,110.00000,170
1,7,0.17009,63.00000,90.00000,175
1,8,0.16318,44.00000,110.00000,170
1,9,0.17079,143.00000,110.00000,202
1,10,0.17214,66.00000,99.00000,173
1,11,0.14590,66.00000,99.00000,175
1,12,0.14542,181.00000,88.00000,224
1,13,0.14734,110.00000,99.00000,190
1,14,0.14538,33.00000,110.00000,165
1,15,0.13460,69.00000,99.00000,172
1,16,0.11995,119.00000,90.00000,191
1,17,0.11660,55.00000,110.00000,173
1,18,0.11769,45.00000,100.00000,165
1,19,0.10774,55.00000,99.00000,166
1,20,0.11516,88.00000,110.00000,191
1,21,0.10135,33.00000,110.00000,167
1,22,0.08918,94.00000,100.00000,188
1,23,0.08537,90.00000,100.00000,181
1,24,0.09255,66.00000,99.00000,172
1,25,0.08336,209.00000,99.00000,236
1,26,0.08101,110.00000,99.00000,189
1,27,0.08416,88.00000,99.00000,177
1,28,0.08668,66.00000,99.00000,174
1,29,0.07053,66.00000,99.00000,171
1,30,0.06734,110.00000,99.00000,192
1,31,0.06286,107.00000,90.00000,188
1,32,0.05823,22.00000,99.00000,148
1,33,0.07034,110.00000,99.00000,188
1,34,0.06339,132.00000,99.00000,198
1,35,0.05217,43.00000,100.00000,164
1,36,0.07504,88.00000,110.00000,187
1,37,0.04724,99.00000,99.00000,186
1,38,0.04873,66.00000,110.00000,176
1,39,0.05713,135.00000,88.00000,196
1,40,0.04836,134.00000,100.00000,199
1,41,0.04456,96.00000,90.00000,180
1,42,0.05232,11.00000,99.00000,143
1,43,0.04290,66.00000,110.00000,176
1,44,0.03579,66.00000,99.00000,174
1,45,0.04171,156.00000,90.00000,200
1,46,0.03686,88.00000,99.00000,178
1,47,0.03043,87.00000,88.00000,174
1,48,0.04614,77.00000,110.00000,179
1,49,0.02918,205.00000,88.00000,230
1,50,0.02643,44.00000,99.00000,166
1,51,0.02753,77.00000,99.00000,176
1,52,0.04046,99.00000,99.00000,188
1,53,0.03376,66.00000,99.00000,172
1,54,0.02952,44.00000,110.00000,167
1,55,0.03226,88.00000,99.00000,180
1,56,0.02462,55.00000,99.00000,171
1,57,0.02202,74.00000,100.00000,183
1,58,0.02200,22.00000,110.00000,171
1,59,0.02408,44.00000,110.00000,176
1,60,0.01926,67.00000,88.00000,176
1,61,0.02033,147.00000,99.00000,212
1,62,0.01533,220.00000,99.00000,257
1,63,0.01919,110.00000,99.00000,216
1,64,0.01840,159.00000,88.00000,213
1,65,0.01856,165.00000,99.00000,232
1,66,0.01877,121.00000,110.00000,207
1,67,0.01522,77.00000,99.00000,179
1,68,0.01343,45.00000,100.00000,172
1,69,0.01244,77.00000,99.00000,190
1,70,0.01431,55.00000,110.00000,185
1,71,0.01057,55.00000,110.00000,179
1,72,0.01112,71.00000,100.00000,175
1,73,0.01180,143.00000,110.00000,205
1,74,0.01044,187.00000,99.00000,232
1,75,0.01248,66.00000,99.00000,185
1,76,0.01364,264.00000,110.00000,263
1,77,0.00780,53.00000,100.00000,175
1,78,0.01177,133.00000,100.00000,199
1,79,0.00693,56.00000,90.00000,167
1,80,0.00825,176.00000,99.00000,226
1,81,0.00980,110.00000,99.00000,194
1,82,0.00650,88.00000,110.00000,186
1,83,0.00564,88.00000,99.00000,180
1,84,0.00580,77.00000,99.00000,177
1,85,0.00510,187.00000,99.00000,231
1,86,0.00696,66.00000,99.00000,173
1,87,0.00830,146.00000,88.00000,198
1,88,0.00671,198.00000,99.00000,231
1,89,0.00545,66.00000,99.00000,173
1,90,0.00522,112.00000,90.00000,190
1,91,0.00418,55.00000,110.00000,174
1,92,0.00434,165.00000,99.00000,219
1,93,nan,68.00000,90.00000,169
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.49760,44.00000,110.00000,4910
1,1,0.29031,11.00000,99.00000,2194
1,2,0.23223,11.00000,110.00000,1904
1,3,0.20852,22.00000,110.00000,2978
1,4,0.19094,22.00000,99.00000,1881
1,5,nan,66.00000,99.00000,4477
